order_details_id,order_id,pizza_id,quantity,order_datetime,order_type
1,1,hawaiian_m,1,2015-01-03 22:54:41,Dine-in
2,2,classic_dlx_m,1,2015-01-01 21:57:51,Delivery
3,2,five_cheese_l,1,2015-01-01 21:57:51,Delivery
4,2,ital_supr_l,1,2015-01-01 21:57:51,Delivery
5,2,mexicana_m,1,2015-01-01 21:57:51,Delivery
6,2,thai_ckn_l,1,2015-01-01 21:57:51,Delivery
7,3,ital_supr_m,1,2015-01-04 14:23:30,Dine-in
8,3,prsc_argla_l,1,2015-01-04 14:23:30,Dine-in
9,4,ital_supr_m,1,2015-01-09 17:44:05,Delivery
10,5,ital_supr_m,1,2015-01-01 12:15:18,Dine-in
11,6,bbq_ckn_s,1,2015-01-01 14:08:37,Delivery
12,6,the_greek_s,1,2015-01-01 14:08:37,Delivery
13,7,spinach_supr_s,1,2015-01-09 20:20:57,Delivery
14,8,spinach_supr_s,1,2015-01-05 13:01:14,Takeaway
15,9,classic_dlx_s,1,2015-01-01 14:01:32,Takeaway
16,9,green_garden_s,1,2015-01-01 14:01:32,Takeaway
17,9,ital_cpcllo_l,1,2015-01-01 14:01:32,Takeaway
18,9,ital_supr_l,1,2015-01-01 14:01:32,Takeaway
19,9,ital_supr_s,1,2015-01-01 14:01:32,Takeaway
20,9,mexicana_s,1,2015-01-01 14:01:32,Takeaway
21,9,spicy_ital_l,1,2015-01-01 14:01:32,Takeaway
22,9,spin_pesto_l,1,2015-01-01 14:01:32,Takeaway
23,9,veggie_veg_s,1,2015-01-01 14:01:32,Takeaway
24,10,mexicana_l,1,2015-01-04 22:36:39,Takeaway
25,10,southw_ckn_l,1,2015-01-04 22:36:39,Takeaway
26,11,bbq_ckn_l,1,2015-01-01 20:36:25,Takeaway
27,11,cali_ckn_l,1,2015-01-01 20:36:25,Takeaway
28,11,cali_ckn_m,1,2015-01-01 20:36:25,Takeaway
29,11,pepperoni_l,1,2015-01-01 20:36:25,Takeaway
30,12,cali_ckn_l,1,2015-01-01 20:04:52,Dine-in
31,12,cali_ckn_s,1,2015-01-01 20:04:52,Dine-in
32,12,ckn_pesto_l,1,2015-01-01 20:04:52,Dine-in
33,12,ital_supr_m,1,2015-01-01 20:04:52,Dine-in
34,13,mexicana_l,1,2015-01-02 21:45:29,Delivery
35,14,the_greek_s,1,2015-01-01 20:05:10,Takeaway
36,15,big_meat_s,1,2015-01-01 13:59:45,Delivery
37,15,five_cheese_l,1,2015-01-01 13:59:45,Delivery
38,15,soppressata_l,1,2015-01-01 13:59:45,Delivery
39,15,the_greek_s,1,2015-01-01 13:59:45,Delivery
40,16,four_cheese_l,1,2015-01-01 17:47:00,Dine-in
41,16,napolitana_s,1,2015-01-01 17:47:00,Dine-in
42,16,thai_ckn_l,1,2015-01-01 17:47:00,Dine-in
43,17,bbq_ckn_l,1,2015-01-01 16:47:13,Takeaway
44,17,calabrese_m,1,2015-01-01 16:47:13,Takeaway
45,17,five_cheese_l,1,2015-01-01 16:47:13,Takeaway
46,17,four_cheese_m,1,2015-01-01 16:47:13,Takeaway
47,17,ital_supr_m,1,2015-01-01 16:47:13,Takeaway
48,17,ital_veggie_s,1,2015-01-01 16:47:13,Takeaway
49,17,mediterraneo_m,2,2015-01-01 16:47:13,Takeaway
50,17,mexicana_l,1,2015-01-01 16:47:13,Takeaway
51,17,peppr_salami_s,1,2015-01-01 16:47:13,Takeaway
52,17,spinach_fet_l,1,2015-01-01 16:47:13,Takeaway
53,18,napolitana_l,1,2015-01-03 14:07:57,Delivery
54,19,ital_cpcllo_l,1,2015-01-01 21:31:09,Takeaway
55,19,sicilian_l,1,2015-01-01 21:31:09,Takeaway
56,20,big_meat_s,1,2015-01-01 16:58:58,Takeaway
57,20,five_cheese_l,1,2015-01-01 16:58:58,Takeaway
58,21,ital_cpcllo_l,1,2015-01-09 12:36:16,Takeaway
59,22,five_cheese_l,1,2015-01-01 14:12:10,Delivery
60,22,ital_cpcllo_m,1,2015-01-01 14:12:10,Delivery
61,22,southw_ckn_l,1,2015-01-01 14:12:10,Delivery
62,23,southw_ckn_s,1,2015-01-01 14:02:41,Takeaway
63,24,bbq_ckn_m,1,2015-01-01 21:08:14,Delivery
64,24,ital_cpcllo_m,1,2015-01-01 21:08:14,Delivery
65,24,pepperoni_m,1,2015-01-01 21:08:14,Delivery
66,24,prsc_argla_s,1,2015-01-01 21:08:14,Delivery
67,25,sicilian_m,1,2015-01-01 19:03:11,Takeaway
68,25,thai_ckn_l,1,2015-01-01 19:03:11,Takeaway
69,26,classic_dlx_s,1,2015-01-02 18:27:02,Delivery
70,26,veggie_veg_l,1,2015-01-02 18:27:02,Delivery
71,27,bbq_ckn_l,1,2015-01-01 17:39:21,Takeaway
72,27,classic_dlx_m,1,2015-01-01 17:39:21,Takeaway
73,27,spinach_fet_l,1,2015-01-01 17:39:21,Takeaway
74,28,ckn_alfredo_s,1,2015-01-03 19:15:49,Dine-in
75,29,green_garden_s,1,2015-01-01 20:56:55,Takeaway
76,30,thai_ckn_l,1,2015-01-01 18:10:58,Delivery
77,31,mexicana_m,1,2015-01-01 22:54:25,Delivery
78,31,pepperoni_s,1,2015-01-01 22:54:25,Delivery
79,32,big_meat_s,1,2015-01-11 22:18:38,Dine-in
80,32,green_garden_l,1,2015-01-11 22:18:38,Dine-in
81,32,ital_cpcllo_l,1,2015-01-11 22:18:38,Dine-in
82,32,ital_supr_m,1,2015-01-11 22:18:38,Dine-in
83,33,bbq_ckn_l,1,2015-01-01 22:41:42,Takeaway
84,33,green_garden_s,1,2015-01-01 22:41:42,Takeaway
85,34,the_greek_s,1,2015-01-01 19:58:49,Takeaway
86,35,green_garden_m,1,2015-01-06 21:21:48,Takeaway
87,35,pep_msh_pep_l,1,2015-01-06 21:21:48,Takeaway
88,35,pepperoni_m,1,2015-01-06 21:21:48,Takeaway
89,35,thai_ckn_l,1,2015-01-06 21:21:48,Takeaway
90,36,bbq_ckn_m,1,2015-01-01 15:38:22,Takeaway
91,36,classic_dlx_m,1,2015-01-01 15:38:22,Takeaway
92,37,ital_supr_l,1,2015-01-02 21:11:15,Takeaway
93,37,mexicana_l,1,2015-01-02 21:11:15,Takeaway
94,38,hawaiian_s,1,2015-01-01 21:54:54,Takeaway
95,38,ital_cpcllo_l,1,2015-01-01 21:54:54,Takeaway
96,39,ital_supr_l,1,2015-01-01 21:29:02,Takeaway
97,40,four_cheese_l,1,2015-01-02 21:39:29,Dine-in
98,40,southw_ckn_s,1,2015-01-02 21:39:29,Dine-in
99,41,four_cheese_m,1,2015-01-05 15:41:57,Takeaway
100,41,green_garden_s,1,2015-01-05 15:41:57,Takeaway
101,42,big_meat_s,1,2015-01-02 13:04:12,Takeaway
102,42,five_cheese_l,1,2015-01-02 13:04:12,Takeaway
103,42,mexicana_l,1,2015-01-02 13:04:12,Takeaway
104,42,peppr_salami_m,1,2015-01-02 13:04:12,Takeaway
105,43,ckn_alfredo_m,1,2015-01-01 14:36:07,Takeaway
106,43,ital_supr_m,1,2015-01-01 14:36:07,Takeaway
107,43,peppr_salami_l,1,2015-01-01 14:36:07,Takeaway
108,44,spin_pesto_s,1,2015-01-01 20:44:23,Delivery
109,45,four_cheese_l,1,2015-01-01 14:31:04,Delivery
110,45,hawaiian_s,1,2015-01-01 14:31:04,Delivery
111,45,thai_ckn_m,1,2015-01-01 14:31:04,Delivery
112,46,ckn_pesto_l,1,2015-01-01 17:33:06,Delivery
113,46,classic_dlx_l,1,2015-01-01 17:33:06,Delivery
114,46,thai_ckn_m,1,2015-01-01 17:33:06,Delivery
115,47,southw_ckn_l,1,2015-01-01 18:11:50,Takeaway
116,47,veggie_veg_s,1,2015-01-01 18:11:50,Takeaway
117,48,ckn_pesto_m,1,2015-01-07 19:42:53,Delivery
118,48,green_garden_s,1,2015-01-07 19:42:53,Delivery
119,48,prsc_argla_l,1,2015-01-07 19:42:53,Delivery
120,48,spicy_ital_l,1,2015-01-07 19:42:53,Delivery
121,49,sicilian_l,1,2015-01-03 22:01:50,Takeaway
122,50,the_greek_xl,1,2015-01-01 19:46:26,Takeaway
123,51,bbq_ckn_l,1,2015-01-03 20:51:11,Takeaway
124,51,pep_msh_pep_l,1,2015-01-03 20:51:11,Takeaway
125,52,hawaiian_l,1,2015-01-01 18:06:40,Dine-in
126,52,mexicana_l,1,2015-01-01 18:06:40,Dine-in
127,52,spicy_ital_l,1,2015-01-01 18:06:40,Dine-in
128,53,pep_msh_pep_s,1,2015-01-01 21:31:54,Delivery
129,53,spinach_supr_m,1,2015-01-01 21:31:54,Delivery
130,54,prsc_argla_m,1,2015-01-05 14:39:48,Delivery
131,54,thai_ckn_l,1,2015-01-05 14:39:48,Delivery
132,55,peppr_salami_s,1,2015-01-07 13:34:55,Takeaway
133,55,spicy_ital_l,1,2015-01-07 13:34:55,Takeaway
134,56,classic_dlx_m,1,2015-01-07 21:48:24,Takeaway
135,56,mediterraneo_l,1,2015-01-07 21:48:24,Takeaway
136,56,southw_ckn_m,1,2015-01-07 21:48:24,Takeaway
137,57,classic_dlx_m,1,2015-01-01 19:51:41,Delivery
138,58,five_cheese_l,1,2015-01-01 19:05:49,Takeaway
139,58,pepperoni_m,1,2015-01-01 19:05:49,Takeaway
140,59,ital_veggie_s,1,2015-01-03 16:21:32,Dine-in
141,59,pep_msh_pep_s,1,2015-01-03 16:21:32,Dine-in
142,59,pepperoni_l,1,2015-01-03 16:21:32,Dine-in
143,60,ckn_pesto_l,1,2015-01-07 15:24:14,Dine-in
144,60,four_cheese_m,1,2015-01-07 15:24:14,Dine-in
145,61,bbq_ckn_m,1,2015-01-01 18:46:30,Takeaway
146,61,ital_supr_l,1,2015-01-01 18:46:30,Takeaway
147,62,bbq_ckn_m,1,2015-01-01 13:12:10,Takeaway
148,62,spinach_supr_m,1,2015-01-01 13:12:10,Takeaway
149,63,pep_msh_pep_m,1,2015-01-01 16:22:35,Takeaway
150,64,big_meat_s,1,2015-01-01 16:44:56,Takeaway
151,65,pep_msh_pep_s,1,2015-01-06 18:43:05,Delivery
152,65,sicilian_s,1,2015-01-06 18:43:05,Delivery
153,65,spicy_ital_s,1,2015-01-06 18:43:05,Delivery
154,65,spinach_supr_m,1,2015-01-06 18:43:05,Delivery
155,66,classic_dlx_m,1,2015-01-09 19:45:58,Delivery
156,66,ital_cpcllo_m,1,2015-01-09 19:45:58,Delivery
157,67,southw_ckn_l,1,2015-01-01 22:08:44,Dine-in
158,68,classic_dlx_m,1,2015-01-07 19:41:59,Delivery
159,68,ital_supr_l,1,2015-01-07 19:41:59,Delivery
160,68,ital_supr_m,1,2015-01-07 19:41:59,Delivery
